Airline,Cruise_start_time,Cruise_end_time,Flight,Great_circle_distance,Altitute,Temperature_high_jaipur,Temperature_low_jaipur,Change_temperature,Temperature_cruise,
IndiGo,18:01,18:53,6E824,1135.00,33970.00,30,27,114,-85.18,
IndiGo,12:33,13:01,6E864,1135.00,36000.00,,,121,,
Air India,12:04,13:22,AI441,1135.00,38000.00,,,128,,
Air India,16:05,17:15,AI605,1135.00,36000.00,,,121,,
Air India,15:24,16:04,AI624,1135.00,36050.00,,,121,,
Air India,03:03,03:58,AI665,1135.00,34000.00,,,114,,
Air India,04:14,05:00,AI678,1135.00,34000.00,,,114,,
Air India,15:14,15:44,AI805,1135.00,43000.00,,,145,,
Air India,18:02,18:37,AI814,1135.00,38000.00,,,128,,
Air India,12:43,13:02,AI863,1135.00,36000.00,,,121,,
Air India,05:54,06:05,AI865,1135.00,38000.00,,,128,,
Air India,02:08,02:46,AI887,1135.00,32000.00,,,107,,
SpiceJet,07:17,07:57,SG157,1135.00,36000.00,,,121,,
Vistara,10:44,11:23,UK933,1135.00,36000.00,,,121,,
Vistara,12:07,12:24,UK941,1135.00,36000.00,,,121,,
Vistara,03:01,03:27,UK943,1135.00,34000.00,,,114,,
Vistara,06:58,07:36,UK945,1135.00,36000.00,,,121,,
Vistara,09:37,10:05,UK951,1135.00,34000.00,,,114,,
Vistara,13:21,13:38,UK955,1135.00,32000.00,,,107,,
Vistara,16:00,16:48,UK957,1135.00,34000.00,,,114,,
Vistara,04:07,04:56,UK963,1135.00,36000.00,,,121,,
Vistara,01:00,01:39,UK975,1135.00,36000.00,,,121,,
Vistara,16:56,17:35,UK981,1135.00,34000.00,,,114,,
Vistara,15:27,16:08,UK985,1135.00,34000.00,,,114,,
Vistara,08:02,08:46,UK993,1135.00,32000.00,,,107,,
Vistara,05:29,05:52,UK995,1135.00,35000.00,,,117,,
Vistara,17:01,17:04,UK999,1135.00,36000.00,,,121,,
IndiGo,21:28,22:07,6E2009,1135.00,36000.00,,,121,,
IndiGo,11:03,11:03,6E2016,1135.00,36000.00,,,121,,
IndiGo,14:41,15:11,6E2017,1135.00,34000.00,,,114,,
IndiGo,03:21,04:04,6E2075,1135.00,34000.00,,,114,,
IndiGo,15:19,15:54,6E2084,1135.00,36000.00,,,121,,
IndiGo,00:33,01:11,6E2112,1135.00,34000.00,,,114,,
IndiGo,17:14,17:52,6E2114,1135.00,36000.00,,,121,,
IndiGo,09:44,10:22,6E2176,1135.00,34000.00,,,114,,
IndiGo,05:07,05:43,6E2328,1135.00,36000.00,,,121,,
IndiGo,18:41,19:18,6E2519,1135.00,36000.00,,,121,,
IndiGo,04:03,04:53,6E5112,1135.00,36000.00,,,121,,
IndiGo,11:41,12:18,6E5197,1135.00,34000.00,,,114,,
IndiGo,01:42,02:19,6E5218,1135.00,36000.00,,,121,,
IndiGo,16:04,16:46,6E6083,1135.00,32000.00,,,107,,
IndiGo,07:56,08:33,6E6092,1135.00,36000.00,,,121,,
IndiGo,02:24,03:04,6E6814,1135.00,36000.00,,,121,,
Starlight Airlines,11:19,11:52,QP1128,1135.00,36000.00,,,121,,
SpiceJet,14:14,14:55,SG8192,1135.00,38000.00,,,128,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,18:10 - 18:53 ,,
,,,,,,,,,,
,,,,,,,,12:33 - 13:10,,
,,,,,,,,,,
,,,,,,,,12:40- 13:22,,
,,,,,,,,,,
,,,,,,,,16:50- 17:15,,
,,,,,,,,,,
,,,,,,,,15:24 - 16:04,,
,,,,,,,,,,
,,,,,,,,03:30  - 03:58,,
,,,,,,,,,,
,,,,,,,,04:14  - 05:00,,
,,,,,,,,,,
,,,,,,,,15:14 - 15:44,,
,,,,,,,,,,
,,,,,,,,18:02 - 18:37,,
,,,,,,,,,,
,,,,,,,,12:43 - 13:20,,
,,,,,,,,,,
,,,,,,,,05:54 - 06:50,,
,,,,,,,,,,
,,,,,,,,02:08 - 02:46,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,NA,,
,,,,,,,,,,
,,,,,,,,07:17 - 07:57,,
,,,,,,,,,,
,,,,,,,,10:44 - 11:23,,
,,,,,,,,,,
,,,,,,,,12:07 - 12:24,,
,,,,,,,,,,
,,,,,,,,03:01 - 03:27,,
,,,,,,,,,,
,,,,,,,,06:58 - 07:36,,
,,,,,,,,,,
,,,,,,,,09:37 - 10:05,,
,,,,,,,,,,
,,,,,,,,13:21 - 13:38,,
,,,,,,,,,,
,,,,,,,,16:00 - 16:48,,
,,,,,,,,,,
,,,,,,,,04:07 - 04:56,,
,,,,,,,,,,
,,,,,,,,01:00 - 01:39,,
,,,,,,,,,,
,,,,,,,,16:56 - 17:35,,
,,,,,,,,,,
,,,,,,,,15:27 - 16:08,,
,,,,,,,,,,
,,,,,,,,08:02 - 08:46,,
,,,,,,,,,,
,,,,,,,,05:29 - 05:52,,
,,,,,,,,,,
,,,,,,,,17:01 - 17:40,,
,,,,,,,,,,
,,,,,,,,21:28 - 22:07,,
,,,,,,,,,,
,,,,,,,,11:03 - 11:30,,
,,,,,,,,,,
,,,,,,,,14:41 - 15:11,,
,,,,,,,,,,
,,,,,,,,03:21 - 04:04,,
,,,,,,,,,,
,,,,,,,,15:19 - 15:54,,
,,,,,,,,,,
,,,,,,,,00:33 - 01:11,,
,,,,,,,,,,
,,,,,,,,17:14 - 17:52,,
,,,,,,,,,,
,,,,,,,,09:44 - 10:22,,
,,,,,,,,,,
,,,,,,,,05:07 - 05:43,,
,,,,,,,,,,
,,,,,,,,18:41 - 19:18,,
,,,,,,,,,,
,,,,,,,,04:30 - 04:53,,
,,,,,,,,,,
,,,,,,,,11:41 - 12:18,,
,,,,,,,,,,
,,,,,,,,01:42 - 02:19,,
,,,,,,,,,,
,,,,,,,,16:04 - 16:46,,
,,,,,,,,,,
,,,,,,,,07:56 - 08:33,,
,,,,,,,,,,
,,,,,,,,02:24 - 03:04,,
,,,,,,,,,,
,,,,,,,,11:19 - 11:52,,
,,,,,,,,,,
,,,,,,,,14:14 - 14:55,,
,,,,,,,,,,
,,,,,,,,19:14 - 19:46,,
